#{"t_start": 1783756432.7513828, "env_id": "None"}
r,l,t
-50.646983,6,1.410275
-51.661768,9,1.461459
-53.612786,11,1.515374
-51.300899,8,1.563067
-55.213654,15,1.617027
-51.286805,5,1.661032
-53.154165,11,1.713026
-51.478498,7,1.758843
-51.620934,9,1.80936
-52.916525,10,1.857658
-53.511528,12,1.904656
-53.697734,14,1.954845
-50.797362,7,1.997248
-52.00881,9,2.042065
-50.771915,6,2.084663
-50.935125,8,2.126281
-51.260192,7,2.165164
-50.597521,5,2.208148
-51.466217,8,2.253503
-51.508521,8,2.298383
-51.854571,8,2.338064
-55.352947,16,2.388352
